permno,date,ret,prc,vol,shrout,cfacpr,cfacshr,ticker,adj_prc,adj_ret,adj_vol,adj_shrout,mktcap
86211,2018-03-28,-0.005607,127.7,89467.0,9412.0,10.0,10.0,MSTR,12.77,-0.005607,89467.0,94120.0,1201912.4
86211,2018-03-29,0.010102,128.99001,143993.0,9412.0,10.0,10.0,MSTR,12.899001000000002,0.010102,143993.0,94120.0,1214053.9741200001
86211,2018-04-02,-0.026746,125.54,115291.0,9412.0,10.0,10.0,MSTR,12.554,-0.026746,115291.0,94120.0,1181582.48
86211,2018-04-03,0.010196,126.82,59905.0,9412.0,10.0,10.0,MSTR,12.681999999999999,0.010196,59905.0,94120.0,1193629.8399999999
86211,2018-04-04,-0.000158,126.8,133109.0,9412.0,10.0,10.0,MSTR,12.68,-0.000158,133109.0,94120.0,1193441.5999999999
86211,2018-04-05,0.006151,127.58,111150.0,9412.0,10.0,10.0,MSTR,12.758,0.006151,111150.0,94120.0,1200782.96
86211,2018-04-06,-0.013403,125.87,76218.0,9412.0,10.0,10.0,MSTR,12.587,-0.013403,76218.0,94120.0,1184688.44
86211,2018-04-09,-0.003416,125.44,62662.0,9412.0,10.0,10.0,MSTR,12.544,-0.003416,62662.0,94120.0,1180641.28
86211,2018-04-10,0.016502,127.51,104519.0,9412.0,10.0,10.0,MSTR,12.751000000000001,0.016502,104519.0,94120.0,1200124.12
86211,2018-04-11,0.009333,128.7,86061.0,9412.0,10.0,10.0,MSTR,12.87,0.009333,86061.0,94120.0,1211324.4
86211,2018-04-12,0.006371,129.52,111985.0,9412.0,10.0,10.0,MSTR,12.952000000000002,0.006371,111985.0,94120.0,1219042.2400000002
86211,2018-04-13,0.005096,130.17999,108953.0,9412.0,10.0,10.0,MSTR,13.017999,0.005096,108953.0,94120.0,1225254.06588
86211,2018-04-16,0.016746,132.36,85232.0,9412.0,10.0,10.0,MSTR,13.236,0.016746,85232.0,94120.0,1245772.32
86211,2018-04-17,0.01715,134.63,147947.0,9412.0,10.0,10.0,MSTR,13.463,0.01715,147947.0,94120.0,1267137.5599999998
86211,2018-04-18,0.001411,134.82001,51356.0,9412.0,10.0,10.0,MSTR,13.482001,0.001411,51356.0,94120.0,1268925.93412
86211,2018-04-19,-0.004302,134.24001,38442.0,9412.0,10.0,10.0,MSTR,13.424001,-0.004302,38442.0,94120.0,1263466.9741200001
86211,2018-04-20,-0.020039,131.55,42388.0,9412.0,10.0,10.0,MSTR,13.155000000000001,-0.020039,42388.0,94120.0,1238148.6
86211,2018-04-23,-0.000228,131.52,29669.0,9412.0,10.0,10.0,MSTR,13.152000000000001,-0.000228,29669.0,94120.0,1237866.24
86211,2018-04-24,-0.008972,130.34,87993.0,9412.0,10.0,10.0,MSTR,13.034,-0.008972,87993.0,94120.0,1226760.08
86211,2018-04-25,0.009514,131.58,53676.0,9412.0,10.0,10.0,MSTR,13.158000000000001,0.009514,53676.0,94120.0,1238430.9600000002
86211,2018-04-26,0.005396,132.28999,39882.0,9412.0,10.0,10.0,MSTR,13.228998999999998,0.005396,39882.0,94120.0,1245113.3858799997
86211,2018-04-27,-0.042331,126.69,138090.0,9412.0,10.0,10.0,MSTR,12.669,-0.042331,138090.0,94120.0,1192406.28
86211,2018-04-30,0.006078,127.46,126740.0,9412.0,10.0,10.0,MSTR,12.745999999999999,0.006078,126740.0,94120.0,1199653.5199999998
86211,2018-05-01,0.026361,130.82001,134541.0,9412.0,10.0,10.0,MSTR,13.082001,0.026361,134541.0,94120.0,1231277.93412
86211,2018-05-02,-0.003899,130.31,92153.0,9412.0,10.0,10.0,MSTR,13.031,-0.003899,92153.0,94120.0,1226477.72
86211,2018-05-03,-0.009132,129.12,73454.0,9412.0,10.0,10.0,MSTR,12.912,-0.009132,73454.0,94120.0,1215277.4400000002
86211,2018-05-04,0.008364,130.2,70565.0,9412.0,10.0,10.0,MSTR,13.02,0.008364,70565.0,94120.0,1225442.4
86211,2018-05-07,-0.002074,129.92999,46625.0,9412.0,10.0,10.0,MSTR,12.992999000000001,-0.002074,46625.0,94120.0,1222901.0658800001
86211,2018-05-08,0.008543,131.03999,83668.0,9412.0,10.0,10.0,MSTR,13.103998999999998,0.008543,83668.0,94120.0,1233348.3858799997
86211,2018-05-09,-0.003358,130.60001,30983.0,9412.0,10.0,10.0,MSTR,13.060001,-0.003358,30983.0,94120.0,1229207.29412
86211,2018-05-10,-0.003216,130.17999,76570.0,9412.0,10.0,10.0,MSTR,13.017999,-0.003216,76570.0,94120.0,1225254.06588
86211,2018-05-11,-0.006913,129.28,52201.0,9412.0,10.0,10.0,MSTR,12.928,-0.006913,52201.0,94120.0,1216783.36
86211,2018-05-14,-0.016631,127.13,68680.0,9412.0,10.0,10.0,MSTR,12.713,-0.016631,68680.0,94120.0,1196547.5599999998
86211,2018-05-15,0.002596,127.46,117749.0,9412.0,10.0,10.0,MSTR,12.745999999999999,0.002596,117749.0,94120.0,1199653.5199999998
86211,2018-05-16,0.010592,128.81,75353.0,9412.0,10.0,10.0,MSTR,12.881,0.010592,75353.0,94120.0,1212359.72
86211,2018-05-17,0.005201,129.48,80010.0,9412.0,10.0,10.0,MSTR,12.947999999999999,0.005201,80010.0,94120.0,1218665.7599999998
86211,2018-05-18,0.010195,130.8,94221.0,9412.0,10.0,10.0,MSTR,13.080000000000002,0.010195,94221.0,94120.0,1231089.6
86211,2018-05-21,-0.00474,130.17999,87941.0,9412.0,10.0,10.0,MSTR,13.017999,-0.00474,87941.0,94120.0,1225254.06588
86211,2018-05-22,-0.003303,129.75,72814.0,9412.0,10.0,10.0,MSTR,12.975,-0.003303,72814.0,94120.0,1221207.0
86211,2018-05-23,0.002698,130.10001,55221.0,9412.0,10.0,10.0,MSTR,13.010000999999999,0.002698,55221.0,94120.0,1224501.29412
86211,2018-05-24,0.006533,130.95,85200.0,9412.0,10.0,10.0,MSTR,13.094999999999999,0.006533,85200.0,94120.0,1232501.4
86211,2018-05-25,-0.001756,130.72,50226.0,9412.0,10.0,10.0,MSTR,13.072,-0.001756,50226.0,94120.0,1230336.64
86211,2018-05-29,-0.011092,129.27,64756.0,9412.0,10.0,10.0,MSTR,12.927000000000001,-0.011092,64756.0,94120.0,1216689.2400000002
86211,2018-05-30,0.022975,132.24001,68037.0,9412.0,10.0,10.0,MSTR,13.224001000000001,0.022975,68037.0,94120.0,1244642.9741200001
86211,2018-05-31,-0.020191,129.57001,76504.0,9412.0,10.0,10.0,MSTR,12.957001,-0.020191,76504.0,94120.0,1219512.93412
86211,2018-06-01,0.00656,130.42,70374.0,9412.0,10.0,10.0,MSTR,13.041999999999998,0.00656,70374.0,94120.0,1227513.0399999998
86211,2018-06-04,0.005367,131.12,59544.0,9412.0,10.0,10.0,MSTR,13.112,0.005367,59544.0,94120.0,1234101.44
86211,2018-06-05,0.001449,131.31,49355.0,9412.0,10.0,10.0,MSTR,13.131,0.001449,49355.0,94120.0,1235889.72
86211,2018-06-06,0.003579,131.78,55080.0,9412.0,10.0,10.0,MSTR,13.178,0.003579,55080.0,94120.0,1240313.36
86211,2018-06-07,-0.014266,129.89999,54892.0,9412.0,10.0,10.0,MSTR,12.989999000000001,-0.014266,54892.0,94120.0,1222618.70588
86211,2018-06-08,0.000462,129.96001,34979.0,9412.0,10.0,10.0,MSTR,12.996001000000001,0.000462,34979.0,94120.0,1223183.61412
86211,2018-06-11,0.008695,131.09,40826.0,9412.0,10.0,10.0,MSTR,13.109,0.008695,40826.0,94120.0,1233819.08
86211,2018-06-12,0.010909,132.52,35197.0,9412.0,10.0,10.0,MSTR,13.252,0.010909,35197.0,94120.0,1247278.24
86211,2018-06-13,0.001509,132.72,73567.0,9412.0,10.0,10.0,MSTR,13.272,0.001509,73567.0,94120.0,1249160.6400000001
86211,2018-06-14,0.003315,133.16,49689.0,9412.0,10.0,10.0,MSTR,13.315999999999999,0.003315,49689.0,94120.0,1253301.92
86211,2018-06-15,0.011865,134.74001,100551.0,9412.0,10.0,10.0,MSTR,13.474001000000001,0.011865,100551.0,94120.0,1268172.9741200001
86211,2018-06-18,0.007719,135.78,70551.0,9412.0,10.0,10.0,MSTR,13.578,0.007719,70551.0,94120.0,1277961.3599999999
86211,2018-06-19,-0.002062,135.5,61724.0,9412.0,10.0,10.0,MSTR,13.55,-0.002062,61724.0,94120.0,1275326.0
