PERMNO,date,TICKER,COMNAM,CFACPR
93002,2020-11-19,AVGO,BROADCOM INC,10
93002,2020-11-20,AVGO,BROADCOM INC,10
93002,2020-11-23,AVGO,BROADCOM INC,10
93002,2020-11-24,AVGO,BROADCOM INC,10
93002,2020-11-25,AVGO,BROADCOM INC,10
93002,2020-11-27,AVGO,BROADCOM INC,10
93002,2020-11-30,AVGO,BROADCOM INC,10
93002,2020-12-01,AVGO,BROADCOM INC,10
93002,2020-12-02,AVGO,BROADCOM INC,10
93002,2020-12-03,AVGO,BROADCOM INC,10
93002,2020-12-04,AVGO,BROADCOM INC,10
93002,2020-12-07,AVGO,BROADCOM INC,10
93002,2020-12-08,AVGO,BROADCOM INC,10
93002,2020-12-09,AVGO,BROADCOM INC,10
93002,2020-12-10,AVGO,BROADCOM INC,10
93002,2020-12-11,AVGO,BROADCOM INC,10
93002,2020-12-14,AVGO,BROADCOM INC,10
93002,2020-12-15,AVGO,BROADCOM INC,10
93002,2020-12-16,AVGO,BROADCOM INC,10
93002,2020-12-17,AVGO,BROADCOM INC,10
93002,2020-12-18,AVGO,BROADCOM INC,10
93002,2020-12-21,AVGO,BROADCOM INC,10
93002,2020-12-22,AVGO,BROADCOM INC,10
93002,2020-12-23,AVGO,BROADCOM INC,10
93002,2020-12-24,AVGO,BROADCOM INC,10
93002,2020-12-28,AVGO,BROADCOM INC,10
93002,2020-12-29,AVGO,BROADCOM INC,10
93002,2020-12-30,AVGO,BROADCOM INC,10
93002,2020-12-31,AVGO,BROADCOM INC,10
93002,2021-01-04,AVGO,BROADCOM INC,10
93002,2021-01-05,AVGO,BROADCOM INC,10
93002,2021-01-06,AVGO,BROADCOM INC,10
93002,2021-01-07,AVGO,BROADCOM INC,10
93002,2021-01-08,AVGO,BROADCOM INC,10
93002,2021-01-11,AVGO,BROADCOM INC,10
93002,2021-01-12,AVGO,BROADCOM INC,10
93002,2021-01-13,AVGO,BROADCOM INC,10
93002,2021-01-14,AVGO,BROADCOM INC,10
93002,2021-01-15,AVGO,BROADCOM INC,10
93002,2021-01-19,AVGO,BROADCOM INC,10
