ticker,date,exit_date,exdate,strike,strike_key,signal,alpha_call,alpha_put,call_entry_premium,put_entry_premium,call_exit_premium,put_exit_premium,weighted_entry,weighted_exit,trade_profit_w,trade_return_w
INTC,2023-04-21,2023-05-02,2023-05-19,30.0,30.0,short,0.5617602467068604,0.4382397532931396,1.51,1.2349999999999999,0.74,0.995,2.745,1.7248906821824057,1.0201093178175944,0.37162452379511635
MARA,2023-04-21,2023-05-02,2023-05-19,9.0,9.0,short,0.46780632553479046,0.5321936744652096,1.1400000000000001,1.27,1.2850000000000001,0.775,2.41,2.0534931916529207,0.3565068083470795,0.14792813624360143
MSFT,2023-04-21,2023-05-02,2023-05-19,285.0,285.0,short,0.4227444266150433,0.5772555733849567,9.399999999999999,8.05,22.425,1.0550000000000002,17.45,18.918732357390304,-1.468732357390305,-0.08416804340345588
MSFT,2023-04-21,2023-05-02,2023-05-19,285.0,285.0,short,0.4227444266150433,0.5772555733849567,9.399999999999999,8.05,22.425,1.0550000000000002,17.45,18.918732357390304,-1.468732357390305,-0.08416804340345588
MSFT,2023-04-21,2023-05-02,2023-05-26,285.0,285.0,short,0.679085503265234,0.320914496734766,10.1,8.675,22.775,1.625,18.775,29.878870289661588,-11.10387028966159,-0.5914178583042126
MSFT,2023-04-21,2023-05-02,2023-05-26,285.0,285.0,short,0.679085503265234,0.320914496734766,10.1,8.675,22.775,1.625,18.775,29.878870289661588,-11.10387028966159,-0.5914178583042126
NIO,2023-04-21,2023-05-02,2023-05-26,8.5,8.5,short,0.6493255709193888,0.3506744290806112,0.65,0.78,0.215,1.2,1.4300000000000002,1.0786147390222156,0.35138526097778455,0.24572395872572345
TSLA,2023-04-21,2023-05-02,2023-05-19,165.0,165.0,short,0.2705489337927764,0.7294510662072236,9.100000000000001,8.425,5.074999999999999,9.125,17.525000000000002,16.489996907905592,1.03500309209441,0.059058664313518396
TSLA,2023-04-21,2023-05-02,2023-05-19,165.0,165.0,short,0.2705489337927764,0.7294510662072236,9.100000000000001,8.425,5.074999999999999,9.125,17.525000000000002,16.489996907905592,1.03500309209441,0.059058664313518396
TSLA,2023-04-21,2023-05-02,2023-05-26,165.0,165.0,short,0.3977310729657677,0.6022689270342323,10.375,9.5,6.425,10.3,19.875,17.873429675882875,2.001570324117125,0.10070794083608177
TSLA,2023-04-21,2023-05-02,2023-05-26,165.0,165.0,short,0.3977310729657677,0.6022689270342323,10.375,9.5,6.425,10.3,19.875,17.873429675882875,2.001570324117125,0.10070794083608177
INTC,2023-04-24,2023-05-03,2023-05-26,30.0,30.0,short,0.8164969892462065,0.1835030107537935,1.2349999999999999,1.57,1.4049999999999998,0.74,2.8049999999999997,2.8481441322080836,-0.043144132208083885,-0.015381152302347198
MARA,2023-04-24,2023-05-03,2023-05-26,9.0,9.0,short,0.7146698730191955,0.2853301269808045,1.17,1.355,1.4249999999999998,0.915,2.525,2.684347844466981,-0.15934784446698114,-0.06310805721464599
MSFT,2023-04-24,2023-05-03,2023-05-26,280.0,280.0,short,0.9314842601569169,0.06851573984308312,10.525,8.375,26.1,1.3599999999999999,18.9,43.867468873109786,-24.967468873109787,-1.321030099106338
NIO,2023-04-24,2023-05-03,2023-05-26,8.5,8.5,short,0.8175900477108701,0.18240995228912993,0.595,0.76,0.235,1.07,1.355,0.7855310715731507,0.5694689284268493,0.4202722719017338
TSLA,2023-04-24,2023-05-03,2023-05-26,165.0,165.0,short,0.2858612670330303,0.7141387329669697,8.625,10.4,6.425,10.175,19.025,17.343847228194818,1.6811527718051806,0.08836545449698716
AAPL,2023-04-25,2023-05-04,2023-05-26,165.0,165.0,short,0.4544186636069852,0.5455813363930149,5.05,5.7,5.7,4.85,10.75,10.504157289165063,0.24584271083493725,0.022869089379994163
F,2023-04-25,2023-05-04,2023-05-26,12.0,12.0,short,0.8702098808288403,0.12979011917115968,0.48,0.7,0.275,0.67,1.18,0.7348868070663575,0.4451131929336425,0.3772145702827479
GOOGL,2023-04-25,2023-05-04,2023-05-26,104.0,104.0,long,0.9340576911872904,0.06594230881270957,4.575,4.125,3.7249999999999996,2.77,8.7,7.001744143857298,-1.6982558561427012,-0.1952018225451381
MARA,2023-04-25,2023-05-04,2023-05-26,9.0,9.0,short,0.500997471057011,0.499002528942989,1.2850000000000001,1.3450000000000002,1.91,0.72,2.6300000000000003,2.66102693632355,-0.03102693632354958,-0.011797314191463718
NIO,2023-04-25,2023-05-04,2023-05-26,8.0,8.0,short,0.8786515157891407,0.12134848421085931,0.625,0.6799999999999999,0.565,0.5,1.305,1.1530037749532145,0.15199622504678545,0.11647220310098502
SOFI,2023-04-25,2023-05-04,2023-05-26,5.5,5.5,long,0.8488066437376732,0.15119335626232677,0.63,0.345,0.125,0.715,0.975,0.4697128502119321,-0.5052871497880679,-0.5182432305518645
AAPL,2023-04-26,2023-05-05,2023-05-26,165.0,165.0,short,0.30125866279146585,0.6987413372085342,4.85,5.525,9.725000000000001,1.005,10.375,7.585905046000315,2.789094953999685,0.26882842930117445
F,2023-04-26,2023-05-05,2023-05-26,11.5,11.5,short,0.7203560388894471,0.2796439611105529,0.635,0.53,0.74,0.215,1.165,1.110140737581828,0.05485926241817207,0.04708949563791594
GOOGL,2023-04-26,2023-05-05,2023-05-26,104.0,104.0,short,0.6126480878449996,0.3873519121550004,3.6500000000000004,3.425,3.825,2.035,7.075,6.170608867188157,0.9043911328118428,0.12782913537976576
INTC,2023-04-26,2023-05-05,2023-05-26,29.0,29.0,short,0.2502242725264365,0.7497757274735635,1.44,1.4,2.34,0.295,2.84,1.6034722351933266,1.2365277648066733,0.4353971002840399
MARA,2023-04-26,2023-05-05,2023-05-26,9.5,9.5,short,0.24981703018118145,0.7501829698188185,1.385,1.46,1.685,0.745,2.8449999999999998,1.9537407800973572,0.8912592199026426,0.3132721335334421
NIO,2023-04-26,2023-05-05,2023-05-26,7.5,7.5,short,0.7255047885789278,0.27449521142107225,0.735,0.52,0.905,0.22999999999999998,1.255,1.2734735507324684,-0.01847355073246848,-0.014719960743002775
PLTR,2023-04-26,2023-05-05,2023-05-26,7.5,7.5,long,0.9429733946771678,0.05702660532283221,0.71,0.44,0.485,0.575,1.15,0.8264672828240297,-0.3235327171759702,-0.28133279754432194
TSLA,2023-04-26,2023-05-05,2023-05-26,155.0,155.0,short,0.3514282038755658,0.6485717961244342,9.225000000000001,9.7,17.65,2.18,18.925,15.483332535442916,3.441667464557085,0.18185825440195957
